"source","File","ROI","Frame","Intensity","Lifetime","Time"
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",46,375.19,2.94132995605469,675
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",46,608.58,3.01238250732422,675
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",46,526.33,3.14068756103516,675
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",46,563.61,3.07765960693359,675
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",46,131.19,3.01115570068359,675
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",47,374.78,2.94433746337891,690
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",47,607.97,3.00948638916016,690
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",47,522.92,3.13473510742188,690
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",47,561.73,3.06472320556641,690
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",47,130.4,3.02381134033203,690
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",48,373.57,2.95425415039062,705
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",48,607.37,3.01037750244141,705
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",48,520.01,3.13762512207031,705
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",48,561.39,3.06963806152344,705
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",48,131.03,2.98029632568359,705
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",49,373.85,2.94657592773437,720
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",49,606.71,3.00161895751953,720
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",49,518.74,3.14199676513672,720
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",49,562.82,3.06964111328125,720
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",49,131.07,3.00843505859375,720
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",50,372.04,2.94994201660156,735
